Dataset (indv datasets within larger group),Full name dataset (top of page),CxG Link,h5ad link,Reference_DOI,Bionetworks reference,Standard category present? (T/F),Standard category cell_type present? (T/F),Author Category Cell Type Field Name,Content,Value type(s),Notes,Study Short Name,CxG Dataset Collection X,Is the dataset Normal or Normal/Diseased,Stage
Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney - ATACseq,Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney,https://cellxgene.cziscience.com/e/13a027de-ea3e-432b-9a5e-6bc7048498fc.cxg/,https://datasets.cellxgene.cziscience.com/dabd979f-cc50-4526-81f3-8bc6c673ca36.h5ad,DOI: 10.1038/s41467-021-22368-w,T,T,T,alignment_software,Other,"normal, abbreviations",,Muto et al. (2021) Nat Commun,https://cellxgene.cziscience.com/collections/9b02383a-9358-4f0f-9795-a891ec523bcc,Normal,Adult
Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney - ATACseq,Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney,https://cellxgene.cziscience.com/e/13a027de-ea3e-432b-9a5e-6bc7048498fc.cxg/,https://datasets.cellxgene.cziscience.com/dabd979f-cc50-4526-81f3-8bc6c673ca36.h5ad,DOI: 10.1038/s41467-021-22368-w,T,T,T,library_uuid,Other,normal ,,Muto et al. (2021) Nat Commun,https://cellxgene.cziscience.com/collections/9b02383a-9358-4f0f-9795-a891ec523bcc,Normal,Adult
Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney - ATACseq,Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney,https://cellxgene.cziscience.com/e/13a027de-ea3e-432b-9a5e-6bc7048498fc.cxg/,https://datasets.cellxgene.cziscience.com/dabd979f-cc50-4526-81f3-8bc6c673ca36.h5ad,DOI: 10.1038/s41467-021-22368-w,T,T,T,sample_uuid,Other,normal ,,Muto et al. (2021) Nat Commun,https://cellxgene.cziscience.com/collections/9b02383a-9358-4f0f-9795-a891ec523bcc,Normal,Adult
Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney - ATACseq,Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney,https://cellxgene.cziscience.com/e/13a027de-ea3e-432b-9a5e-6bc7048498fc.cxg/,https://datasets.cellxgene.cziscience.com/dabd979f-cc50-4526-81f3-8bc6c673ca36.h5ad,DOI: 10.1038/s41467-021-22368-w,T,T,T,seurat_clusters ,Other,normal ,,Muto et al. (2021) Nat Commun,https://cellxgene.cziscience.com/collections/9b02383a-9358-4f0f-9795-a891ec523bcc,Normal,Adult
Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney - ATACseq,Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney,https://cellxgene.cziscience.com/e/13a027de-ea3e-432b-9a5e-6bc7048498fc.cxg/,https://datasets.cellxgene.cziscience.com/dabd979f-cc50-4526-81f3-8bc6c673ca36.h5ad,DOI: 10.1038/s41467-021-22368-w,T,T,T,suspension_uuid,Other,normal ,,Muto et al. (2021) Nat Commun,https://cellxgene.cziscience.com/collections/9b02383a-9358-4f0f-9795-a891ec523bcc,Normal,Adult
Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney - RNAseq,Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney,https://cellxgene.cziscience.com/e/9df60c57-fdf3-4e93-828e-fe9303f20438.cxg/,https://datasets.cellxgene.cziscience.com/47de6fa9-411b-429a-a04f-318930848a3c.h5ad,DOI: 10.1038/s41467-021-22368-w,T,T,T,author_cell_type,Other,normal ,,Muto et al. (2021) Nat Commun,https://cellxgene.cziscience.com/collections/9b02383a-9358-4f0f-9795-a891ec523bcc,Normal,Adult
Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney - RNAseq,Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney,https://cellxgene.cziscience.com/e/9df60c57-fdf3-4e93-828e-fe9303f20438.cxg/,https://datasets.cellxgene.cziscience.com/47de6fa9-411b-429a-a04f-318930848a3c.h5ad,DOI: 10.1038/s41467-021-22368-w,T,T,T,reported_diseases,Other,normal ,,Muto et al. (2021) Nat Commun,https://cellxgene.cziscience.com/collections/9b02383a-9358-4f0f-9795-a891ec523bcc,Normal,Adult
Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney - RNAseq,Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney,https://cellxgene.cziscience.com/e/9df60c57-fdf3-4e93-828e-fe9303f20438.cxg/,https://datasets.cellxgene.cziscience.com/47de6fa9-411b-429a-a04f-318930848a3c.h5ad,DOI: 10.1038/s41467-021-22368-w,T,T,T,library_uuid,Other,normal ,,Muto et al. (2021) Nat Commun,https://cellxgene.cziscience.com/collections/9b02383a-9358-4f0f-9795-a891ec523bcc,Normal,Adult
Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney - RNAseq,Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney,https://cellxgene.cziscience.com/e/9df60c57-fdf3-4e93-828e-fe9303f20438.cxg/,https://datasets.cellxgene.cziscience.com/47de6fa9-411b-429a-a04f-318930848a3c.h5ad,DOI: 10.1038/s41467-021-22368-w,T,T,T,sample_uuid,Other,normal ,,Muto et al. (2021) Nat Commun,https://cellxgene.cziscience.com/collections/9b02383a-9358-4f0f-9795-a891ec523bcc,Normal,Adult
Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney - RNAseq,Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney,https://cellxgene.cziscience.com/e/9df60c57-fdf3-4e93-828e-fe9303f20438.cxg/,https://datasets.cellxgene.cziscience.com/47de6fa9-411b-429a-a04f-318930848a3c.h5ad,DOI: 10.1038/s41467-021-22368-w,T,T,T,seurat_clusters ,Other,normal ,,Muto et al. (2021) Nat Commun,https://cellxgene.cziscience.com/collections/9b02383a-9358-4f0f-9795-a891ec523bcc,Normal,Adult
Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney - RNAseq,Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney,https://cellxgene.cziscience.com/e/9df60c57-fdf3-4e93-828e-fe9303f20438.cxg/,https://datasets.cellxgene.cziscience.com/47de6fa9-411b-429a-a04f-318930848a3c.h5ad,DOI: 10.1038/s41467-021-22368-w,T,T,T,suspension_uuid,Other,normal ,,Muto et al. (2021) Nat Commun,https://cellxgene.cziscience.com/collections/9b02383a-9358-4f0f-9795-a891ec523bcc,Normal,Adult
"ccRCC - Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response","Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",https://cellxgene.cziscience.com/e/be39785b-67cb-4177-be19-a40ee3747e45.cxg/,https://datasets.cellxgene.cziscience.com/c83105a2-80df-418c-ba40-c66484ba28ff.h5ad,DOI: 10.1073/pnas.2103240118,T,T,T,author_cell_type,Cell types,"normal, abbreviations",,Zhang et al. (2021) Proc. Natl. Acad. Sci. U.S.A.,https://cellxgene.cziscience.com/collections/1df8c90d-d299-4b2e-a54d-a5a80f36e780,Disease,Adult
"ccRCC - Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response","Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",https://cellxgene.cziscience.com/e/be39785b-67cb-4177-be19-a40ee3747e45.cxg/,https://datasets.cellxgene.cziscience.com/c83105a2-80df-418c-ba40-c66484ba28ff.h5ad,DOI: 10.1073/pnas.2103240118,T,T,T,author_cluster_label ,Cell types,"normal, abbreviations",,Zhang et al. (2021) Proc. Natl. Acad. Sci. U.S.A.,https://cellxgene.cziscience.com/collections/1df8c90d-d299-4b2e-a54d-a5a80f36e780,Disease,Adult
"ccRCC - Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response","Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",https://cellxgene.cziscience.com/e/be39785b-67cb-4177-be19-a40ee3747e45.cxg/,https://datasets.cellxgene.cziscience.com/c83105a2-80df-418c-ba40-c66484ba28ff.h5ad,DOI: 10.1073/pnas.2103240118,T,T,T,hca_data_portal_cellsuspension_uuid,Other,normal ,,Zhang et al. (2021) Proc. Natl. Acad. Sci. U.S.A.,https://cellxgene.cziscience.com/collections/1df8c90d-d299-4b2e-a54d-a5a80f36e780,Disease,Adult
"ccRCC - Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response","Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",https://cellxgene.cziscience.com/e/be39785b-67cb-4177-be19-a40ee3747e45.cxg/,https://datasets.cellxgene.cziscience.com/c83105a2-80df-418c-ba40-c66484ba28ff.h5ad,DOI: 10.1073/pnas.2103240118,T,T,T,hca_data_portal_donor_uuid,Other,normal ,,Zhang et al. (2021) Proc. Natl. Acad. Sci. U.S.A.,https://cellxgene.cziscience.com/collections/1df8c90d-d299-4b2e-a54d-a5a80f36e780,Disease,Adult
"normal - Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response","Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",https://cellxgene.cziscience.com/e/f801b7a9-80a6-4d09-9161-71474deb58ae.cxg/,https://datasets.cellxgene.cziscience.com/b557f8c1-3523-4bc5-834f-045ba67daccf.h5ad,DOI: 10.1073/pnas.2103240119,T,T,T,author_cell_type,Cell types,"normal, abbreviations",,Zhang et al. (2021) Proc. Natl. Acad. Sci. U.S.A.,https://cellxgene.cziscience.com/collections/1df8c90d-d299-4b2e-a54d-a5a80f36e780,Normal,Adult
"normal - Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response","Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",https://cellxgene.cziscience.com/e/f801b7a9-80a6-4d09-9161-71474deb58ae.cxg/,https://datasets.cellxgene.cziscience.com/b557f8c1-3523-4bc5-834f-045ba67daccf.h5ad,DOI: 10.1073/pnas.2103240120,T,T,T,author_cluster_label ,Cell types,"normal, abbreviations",,Zhang et al. (2021) Proc. Natl. Acad. Sci. U.S.A.,https://cellxgene.cziscience.com/collections/1df8c90d-d299-4b2e-a54d-a5a80f36e780,Normal,Adult
"normal - Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response","Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",https://cellxgene.cziscience.com/e/f801b7a9-80a6-4d09-9161-71474deb58ae.cxg/,https://datasets.cellxgene.cziscience.com/b557f8c1-3523-4bc5-834f-045ba67daccf.h5ad,DOI: 10.1073/pnas.2103240121,T,T,T,hca_data_portal_cellsuspension_uuid,Other,normal ,,Zhang et al. (2021) Proc. Natl. Acad. Sci. U.S.A.,https://cellxgene.cziscience.com/collections/1df8c90d-d299-4b2e-a54d-a5a80f36e780,Normal,Adult
"normal - Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response","Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",https://cellxgene.cziscience.com/e/f801b7a9-80a6-4d09-9161-71474deb58ae.cxg/,https://datasets.cellxgene.cziscience.com/b557f8c1-3523-4bc5-834f-045ba67daccf.h5ad,DOI: 10.1073/pnas.2103240122,T,T,T,hca_data_portal_donor_uuid,Other,normal ,,Zhang et al. (2021) Proc. Natl. Acad. Sci. U.S.A.,https://cellxgene.cziscience.com/collections/1df8c90d-d299-4b2e-a54d-a5a80f36e780,Normal,Adult
"chRCC - Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response","Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",https://cellxgene.cziscience.com/e/4c6f9f26-5470-455b-8933-c408232fbf56.cxg/,https://datasets.cellxgene.cziscience.com/03af5481-a0b6-426c-86b4-9127ada17b53.h5ad,DOI: 10.1073/pnas.2103240123,T,T,T,author_cell_type,Cell types,abbreviations,,Zhang et al. (2021) Proc. Natl. Acad. Sci. U.S.A.,https://cellxgene.cziscience.com/collections/1df8c90d-d299-4b2e-a54d-a5a80f36e780,Disease,Adult
"chRCC - Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response","Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",https://cellxgene.cziscience.com/e/4c6f9f26-5470-455b-8933-c408232fbf56.cxg/,https://datasets.cellxgene.cziscience.com/03af5481-a0b6-426c-86b4-9127ada17b53.h5ad,DOI: 10.1073/pnas.2103240123,T,T,T,author_cluster_label ,Cell types,abbreviations,,Zhang et al. (2021) Proc. Natl. Acad. Sci. U.S.A.,https://cellxgene.cziscience.com/collections/1df8c90d-d299-4b2e-a54d-a5a80f36e780,Disease,Adult
Human kidney cortex snATAC-seq data from donors with and without diabetic kidney disease,Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression,https://cellxgene.cziscience.com/e/ad0bf220-dd49-4b71-bb5c-576fee675d2b.cxg/,https://datasets.cellxgene.cziscience.com/fd9097cf-6b8c-434f-b797-e7d4c38a0911.h5ad,DOI: 10.1038/s41467-022-32972-z,T,T,T,author_cell_type,Cell types,abbreviations,,Wilson et al. (2022) Nat Commun,https://cellxgene.cziscience.com/collections/b3e2c6e3-9b05-4da9-8f42-da38a664b45b,Both,Adult
Human kidney cortex snATAC-seq data from donors with and without diabetic kidney disease,Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression,https://cellxgene.cziscience.com/e/ad0bf220-dd49-4b71-bb5c-576fee675d2b.cxg/,https://datasets.cellxgene.cziscience.com/fd9097cf-6b8c-434f-b797-e7d4c38a0911.h5ad,DOI: 10.1038/s41467-022-32972-z,T,T,T,reported_diseases,Other,normal ,,Wilson et al. (2022) Nat Commun,https://cellxgene.cziscience.com/collections/b3e2c6e3-9b05-4da9-8f42-da38a664b45b,Both,Adult
Human kidney cortex snATAC-seq data from donors with and without diabetic kidney disease,Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression,https://cellxgene.cziscience.com/e/ad0bf220-dd49-4b71-bb5c-576fee675d2b.cxg/,https://datasets.cellxgene.cziscience.com/fd9097cf-6b8c-434f-b797-e7d4c38a0911.h5ad,DOI: 10.1038/s41467-022-32972-z,T,T,T,sample_source,Other ,normal,,Wilson et al. (2022) Nat Commun,https://cellxgene.cziscience.com/collections/b3e2c6e3-9b05-4da9-8f42-da38a664b45b,Both,Adult
Human kidney cortex snATAC-seq data from donors with and without diabetic kidney disease,Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression,https://cellxgene.cziscience.com/e/ad0bf220-dd49-4b71-bb5c-576fee675d2b.cxg/,https://datasets.cellxgene.cziscience.com/fd9097cf-6b8c-434f-b797-e7d4c38a0911.h5ad,DOI: 10.1038/s41467-022-32972-z,T,T,T,donor_living_at_sample_collection ,Other,normal,,Wilson et al. (2022) Nat Commun,https://cellxgene.cziscience.com/collections/b3e2c6e3-9b05-4da9-8f42-da38a664b45b,Both,Adult
Human kidney cortex snATAC-seq data from donors with and without diabetic kidney disease,Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression,https://cellxgene.cziscience.com/e/ad0bf220-dd49-4b71-bb5c-576fee675d2b.cxg/,https://datasets.cellxgene.cziscience.com/fd9097cf-6b8c-434f-b797-e7d4c38a0911.h5ad,DOI: 10.1038/s41467-022-32972-z,T,T,T,library_starting_quantity ,Other,normal,,Wilson et al. (2022) Nat Commun,https://cellxgene.cziscience.com/collections/b3e2c6e3-9b05-4da9-8f42-da38a664b45b,Both,Adult
Human kidney cortex snATAC-seq data from donors with and without diabetic kidney disease,Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression,https://cellxgene.cziscience.com/e/ad0bf220-dd49-4b71-bb5c-576fee675d2b.cxg/,https://datasets.cellxgene.cziscience.com/fd9097cf-6b8c-434f-b797-e7d4c38a0911.h5ad,DOI: 10.1038/s41467-022-32972-z,T,T,T,library_uuid,Other,normal ,,Wilson et al. (2022) Nat Commun,https://cellxgene.cziscience.com/collections/b3e2c6e3-9b05-4da9-8f42-da38a664b45b,Both,Adult
Human kidney cortex snATAC-seq data from donors with and without diabetic kidney disease,Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression,https://cellxgene.cziscience.com/e/ad0bf220-dd49-4b71-bb5c-576fee675d2b.cxg/,https://datasets.cellxgene.cziscience.com/fd9097cf-6b8c-434f-b797-e7d4c38a0911.h5ad,DOI: 10.1038/s41467-022-32972-z,T,T,T,sample_derivation_process,Other,normal ,,Wilson et al. (2022) Nat Commun,https://cellxgene.cziscience.com/collections/b3e2c6e3-9b05-4da9-8f42-da38a664b45b,Both,Adult
Human kidney cortex snATAC-seq data from donors with and without diabetic kidney disease,Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression,https://cellxgene.cziscience.com/e/ad0bf220-dd49-4b71-bb5c-576fee675d2b.cxg/,https://datasets.cellxgene.cziscience.com/fd9097cf-6b8c-434f-b797-e7d4c38a0911.h5ad,DOI: 10.1038/s41467-022-32972-z,T,T,T,sample_uuid,Other ,normal,,Wilson et al. (2022) Nat Commun,https://cellxgene.cziscience.com/collections/b3e2c6e3-9b05-4da9-8f42-da38a664b45b,Both,Adult
Human kidney cortex snATAC-seq data from donors with and without diabetic kidney disease,Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression,https://cellxgene.cziscience.com/e/ad0bf220-dd49-4b71-bb5c-576fee675d2b.cxg/,https://datasets.cellxgene.cziscience.com/fd9097cf-6b8c-434f-b797-e7d4c38a0911.h5ad,DOI: 10.1038/s41467-022-32972-z,T,T,T,suspension_uuid ,Other ,normal,,Wilson et al. (2022) Nat Commun,https://cellxgene.cziscience.com/collections/b3e2c6e3-9b05-4da9-8f42-da38a664b45b,Both,Adult
Human kidney cortex snRNA-seq data from donors with and without diabetic kidney disease,Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression,https://cellxgene.cziscience.com/e/e067e5ca-e53e-485f-aa8e-efd5435229c8.cxg/,https://datasets.cellxgene.cziscience.com/0206ea52-4932-4c71-87ed-58d00ffffd49.h5ad,DOI: 10.1038/s41467-022-32972-z,T,T,T,author_cell_type,Cell types,abbreviations,,Wilson et al. (2022) Nat Commun,https://cellxgene.cziscience.com/collections/b3e2c6e3-9b05-4da9-8f42-da38a664b45b,Both,Adult
Human kidney cortex snRNA-seq data from donors with and without diabetic kidney disease,Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression,https://cellxgene.cziscience.com/e/e067e5ca-e53e-485f-aa8e-efd5435229c8.cxg/,https://datasets.cellxgene.cziscience.com/0206ea52-4932-4c71-87ed-58d00ffffd49.h5ad,DOI: 10.1038/s41467-022-32972-z,T,T,T,reported_diseases,Other,normal ,,Wilson et al. (2022) Nat Commun,https://cellxgene.cziscience.com/collections/b3e2c6e3-9b05-4da9-8f42-da38a664b45b,Both,Adult
Human kidney cortex snRNA-seq data from donors with and without diabetic kidney disease,Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression,https://cellxgene.cziscience.com/e/e067e5ca-e53e-485f-aa8e-efd5435229c8.cxg/,https://datasets.cellxgene.cziscience.com/0206ea52-4932-4c71-87ed-58d00ffffd49.h5ad,DOI: 10.1038/s41467-022-32972-z,T,T,T,library_uuid,Other,normal,,Wilson et al. (2022) Nat Commun,https://cellxgene.cziscience.com/collections/b3e2c6e3-9b05-4da9-8f42-da38a664b45b,Both,Adult
Human kidney cortex snRNA-seq data from donors with and without diabetic kidney disease,Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression,https://cellxgene.cziscience.com/e/e067e5ca-e53e-485f-aa8e-efd5435229c8.cxg/,https://datasets.cellxgene.cziscience.com/0206ea52-4932-4c71-87ed-58d00ffffd49.h5ad,DOI: 10.1038/s41467-022-32972-z,T,T,T,sample_uuid ,Other,normal ,,Wilson et al. (2022) Nat Commun,https://cellxgene.cziscience.com/collections/b3e2c6e3-9b05-4da9-8f42-da38a664b45b,Both,Adult
